"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log_Days_16C","Max_Monthly_Anomaly_Upwelling_Temp","Days_10N","log_UBR_Max","mean_depth","mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling","log_Min_Monthly_NPP","cumsum.wi"
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2481.17305550752,2677.66324264573,0.73343,NA,38.99,0,15.269,36.829,0,0,0,1,1,1,0,0,1,0,0.993
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Days_16C+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2481.33693221789,2671.66618880852,0.72956,NA,38.68,0,15.433,30.832,0,0,1,1,1,0,0,0,0,1,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2481.64744295784,2682.79753781017,0.73754,NA,39.7,0,15.744,41.963,0,0,1,1,0,1,1,0,1,1,0.993
"Days_10N+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2481.72782023842,2658.83330779824,0.72722,NA,34.63,0,15.824,17.999,0,0,0,1,1,0,1,0,0,1,0.993
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Days_10N+log_Days_16C+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2481.79031376515,2658.43378869464,0.72961,NA,35.01,0,15.887,17.599,0,0,1,1,1,0,1,1,0,1,0.993
"Days_10N+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","Days_10N+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2481.93667338167,2666.53691080648,0.72889,NA,36.74,0,16.033,25.702,0,0,0,1,1,0,0,1,0,1,0.993
"Days_10N+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2482.24964646652,2660.58125652228,0.73512,NA,36.49,0,16.346,19.747,0,0,0,1,1,1,0,0,0,0,0.993
"log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2482.27512334981,2674.95028682279,0.7387,NA,39.27,0,16.371,34.116,0,0,1,1,0,1,0,0,0,1,0.993
"Days_10N+log_Days_16C+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Days_16C+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2482.6796844409,2671.52116314367,0.73335,NA,38.2,0,16.776,30.687,0,0,1,1,1,1,0,0,0,0,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2483.24487168804,2677.85643518014,0.73297,NA,37.92,0,17.341,37.022,0,0,0,1,1,1,1,0,1,0,0.993
"Days_10N+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","Days_10N+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2483.31945795616,2668.96757377002,0.7338,NA,36.69,0,17.416,28.133,0,0,0,1,1,1,0,1,0,0,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2483.34184984998,2683.8675320117,0.73344,NA,39.93,0,17.438,43.033,0,0,1,1,1,1,0,0,1,0,0.993
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_Days_16C+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2483.45083486914,2663.96884248841,0.72682,NA,35.37,0,17.547,23.134,0,0,1,1,1,0,1,0,0,1,0.993
"log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2483.56510846204,2677.66565024773,0.73793,NA,37.57,0,17.661,36.831,0,0,0,1,0,1,1,1,1,1,0.993
"Days_10N+log_Days_16C+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","Days_10N+log_Days_16C+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2484.10517049568,2673.06284004027,0.72878,NA,37.68,0,18.201,32.228,0,0,1,1,1,0,0,1,0,1,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2484.1404224652,2660.27051970742,0.73221,NA,34.65,0,18.237,19.436,0,0,1,1,0,0,1,1,1,1,0.993
"Days_10N+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2484.54057685184,2667.66282738257,0.73264,NA,35.88,0,18.637,26.828,0,0,0,1,1,1,1,0,0,0,0.993
"log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2484.74314363014,2671.1474690284,0.73822,NA,36.68,0,18.839,30.313,0,0,0,1,0,1,1,0,0,1,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2485.06084470616,2677.71344961311,0.73638,NA,39.36,0,19.157,36.879,0,0,1,1,0,0,0,0,1,1,0.993
"Days_10N+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Days_10N+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2485.07243123377,2642.37585097774,0.72832,NA,31.25,0,19.169,1.541,0,0.258,0,1,1,0,1,1,0,0,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2485.26405596897,2653.800588783,0.72777,NA,32.66,0,19.36,12.966,0,0.001,0,1,1,0,1,1,1,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2485.42161959903,2680.7086782923,0.73561,NA,37.63,0,19.518,39.874,0,0,1,1,0,1,1,1,1,1,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2485.53922984594,2684.01783574765,0.73279,NA,38.79,0,19.635,43.183,0,0,1,1,1,1,1,0,1,0,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Days_10N+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2485.86847958712,2672.45225733356,0.73139,NA,35.55,0,19.965,31.618,0,0,0,1,1,1,1,1,1,0,0.993
"log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","log_Days_16C+log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2485.90327783938,2668.17378833647,0.73132,NA,35.87,0,20,27.339,0,0,1,1,0,0,1,0,1,1,0.993
"Days_10N+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Days_10N+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2485.99322581266,2645.84247807351,0.72831,NA,31.79,0,20.089,5.008,0,0.046,0,1,1,1,1,1,0,0,0.993
"log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2486.10616628235,2658.9011502823,0.73271,NA,33.49,0,20.202,18.067,0,0,0,1,0,0,1,1,1,1,0.993
"log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2486.37204272153,2662.99511474206,0.73615,NA,36.31,0,20.468,22.16,0,0,0,1,0,0,0,0,0,1,0.993
"Days_10N+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2486.40562673072,2651.39569598321,0.73078,NA,34.33,0,20.502,10.561,0,0.003,0,1,1,0,0,0,0,0,0.993
"Days_10N+log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp","Days_10N+log_Days_16C+Max_Monthly_Anomaly_Upwelling_Temp","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2486.41726374097,2662.58918544369,0.72869,NA,36.12,0,20.514,21.755,0,0,1,1,1,0,0,0,0,0,0.993
"log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","log_Mean_Monthly_NPP_Upwelling+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2486.43502380484,2675.42919231971,0.73673,NA,38.22,0,20.531,34.595,0,0,0,1,0,0,0,0,1,1,0.993
"Days_10N+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","Days_10N+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2486.60703892703,2656.81881823748,0.72857,NA,34.2,0,20.703,15.984,0,0,0,1,1,0,0,1,0,0,0.993
"log_Days_16C+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","log_Days_16C+log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2486.80371997638,2667.77349733254,0.73591,NA,37.33,0,20.9,26.939,0,0,1,1,0,0,0,0,0,1,0.993
"log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","log_Days_16C+log_Min_Monthly_NPP+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2486.83331365767,2668.09121140759,0.73704,NA,37.24,0,20.93,27.257,0,0,1,1,0,1,0,1,0,1,0.993
"Days_10N+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2486.92224050857,2662.6098711824,0.72661,NA,34.2,0,21.019,21.775,0,0,0,1,1,0,1,0,1,0,0.993
"Days_10N+log_Days_16C+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+log_Days_16C+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2486.94670358078,2674.22106897236,0.7326,NA,36.8,0,21.043,33.386,0,0,1,1,1,1,1,0,0,0,0.993
"Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","Days_10N+log_Days_16C+log_Mean_Monthly_NPP_Upwelling+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth+mean_prob_of_rock","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2486.94937768083,2659.52811892915,0.72785,NA,33.68,0,21.046,18.693,0,0,1,1,1,0,1,1,1,0,0.993
"Days_10N+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","Days_10N+Max_Monthly_Anomaly_Upwelling_Temp+mean_depth","s(Days_10N, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_depth, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2487.00900068284,2651.07211682228,0.72681,NA,32.38,0,21.105,10.237,0,0.003,0,1,1,0,1,0,0,0,0.993
"log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","log_Min_Monthly_NPP+Max_Monthly_Anomaly_Upwelling_Temp+mean_prob_of_rock","s(log_Min_Monthly_NPP, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(mean_prob_of_rock, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",2487.07651936619,2662.17025061033,0.73619,NA,35.84,0,21.173,21.336,0,0,0,1,0,0,0,1,0,1,0.993
