"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Days_10N","Min_Monthly_Nitrate","Max_Monthly_Nitrate","Mean_Monthly_Nitrate","Mean_Monthly_Upwelling_Nitrate","Mean_Monthly_Temp","Max_Monthly_Anomaly_Upwelling_Temp","wh_95prc","wh_max","log_den_STRPURAD","log_Days_16C","log_UBR_Mean","log_UBR_Max","log_Mean_Monthly_NPP_Upwelling","Mean_Monthly_NPP","Max_Monthly_NPP_Upwelling","cumsum.wi"
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_95prc+wh_max","log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1335.49981223779,1529.40390385411,0.42074,NA,40.76,0,13.429,27.953,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0.999
"log_den_STRPURAD+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc+wh_max","log_den_STRPURAD+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1336.26491013841,1517.52771964596,0.49614,NA,38.82,0,14.194,16.076,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0.999
"log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_max","log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1336.47051282268,1526.09341470431,0.37791,NA,40.47,0,14.399,24.642,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1336.53317003933,1525.63118812341,0.37511,NA,40.41,0,14.462,24.18,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0.999
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate+wh_95prc+wh_max","log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1336.72209809913,1522.94743513656,0.49702,NA,39.97,0,14.651,21.496,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0.999
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+wh_95prc+wh_max","log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1337.12990127773,1526.45698859745,0.41739,NA,39.89,0,15.059,25.006,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Max+wh_95prc+wh_max","Days_10N+log_den_STRPURAD+log_UBR_Max+wh_95prc+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1337.18809310059,1525.30727546368,0.47841,NA,40.45,0,15.117,23.856,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1337.4158168985,1507.46585718335,0.33708,NA,35.58,0,15.345,6.015,0,0.006,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0.999
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_max","log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1337.4984471781,1525.20163944556,0.44366,NA,39.75,0,15.427,23.75,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc","log_Days_16C+log_den_STRPURAD+log_UBR_Mean+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Mean, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1337.679241195,1516.4847548266,0.43698,NA,37.78,0,15.608,15.033,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc+wh_max","Days_10N+log_den_STRPURAD+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1337.7343938335,1527.07636990929,0.49888,NA,40.08,0,15.663,25.625,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc","Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1337.89471955027,1510.96345663026,0.32292,NA,36.03,0,15.824,9.512,0,0.001,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0.999
"Days_10N+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+wh_95prc+wh_max","Days_10N+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+wh_95prc+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1338.00542693825,1529.7309163865,0.47837,NA,41.38,0,15.934,28.28,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Max+Mean_Monthly_NPP+wh_95prc+wh_max","Days_10N+log_den_STRPURAD+log_UBR_Max+Mean_Monthly_NPP+wh_95prc+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1338.01712766717,1536.09845545399,0.47931,NA,42.1,0,15.946,34.647,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0.999
"log_Days_16C+log_den_STRPURAD+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc","log_Days_16C+log_den_STRPURAD+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1338.13065405298,1517.59786203377,0.43073,NA,37.48,0,16.06,16.147,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+wh_95prc+wh_max","Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+wh_95prc+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1338.22881718859,1530.16509402886,0.47898,NA,41.46,0,16.158,28.714,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0.999
"log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc","log_Days_16C+log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1338.43215300908,1513.82362923952,0.3371,NA,36.76,0,16.361,12.372,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0.999
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_max","log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1338.59248200254,1515.44420619988,0.44246,NA,37.78,0,16.521,13.993,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0.999
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Mean_Monthly_Nitrate+wh_95prc+wh_max","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Mean_Monthly_Nitrate+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1338.63929737623,1517.31365466431,0.50733,NA,38.06,0,16.568,15.862,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1338.73887817012,1523.55080376274,0.49566,NA,39.71,0,16.668,22.099,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0.999
"Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","Days_10N+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Nitrate+wh_95prc","s(Days_10N, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1338.81823080574,1519.75719452023,0.49535,NA,37.16,0,16.747,18.306,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0.999
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1338.98812051841,1508.13719746881,0.48778,NA,36.84,0,16.917,6.686,0,0.004,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0.999
"log_den_STRPURAD+log_UBR_Max+Mean_Monthly_NPP+Min_Monthly_Nitrate+wh_95prc+wh_max","log_den_STRPURAD+log_UBR_Max+Mean_Monthly_NPP+Min_Monthly_Nitrate+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1339.22490916275,1530.1818944064,0.49501,NA,40.14,0,17.154,28.731,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+wh_95prc","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Max_Monthly_NPP_Upwelling+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1339.51214985204,1513.5840947972,0.33706,NA,36.47,0,17.441,12.133,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.999
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_max","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1339.73996686965,1520.7938022002,0.44344,NA,38.78,0,17.669,19.342,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0.999
"log_den_STRPURAD+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc","log_den_STRPURAD+log_UBR_Max+Min_Monthly_Nitrate+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1339.88878789228,1504.40087402702,0.4871,NA,35.61,0,17.818,2.95,0,0.026,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.999
"log_den_STRPURAD+log_UBR_Max+Mean_Monthly_NPP+wh_95prc+wh_max","log_den_STRPURAD+log_UBR_Max+Mean_Monthly_NPP+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1340.01910065047,1530.27220688589,0.4726,NA,40.69,0,17.948,28.821,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0.999
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate+wh_95prc","log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+Min_Monthly_Nitrate+wh_95prc","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Min_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1340.04257117459,1509.14443952524,0.48821,NA,36.81,0,17.971,7.693,0,0.002,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.999
"log_Days_16C+log_den_STRPURAD+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc+wh_max","log_Days_16C+log_den_STRPURAD+Max_Monthly_Nitrate+Mean_Monthly_NPP+wh_95prc+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(Max_Monthly_Nitrate, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1340.11221154971,1529.29579824934,0.43003,NA,38.95,0,18.041,27.844,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_95prc","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_95prc","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1340.13733939154,1518.47793699138,0.33543,NA,36.82,0,18.066,17.027,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0.999
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc+wh_max","log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1340.16016859579,1523.98831027445,0.41056,NA,38.31,0,18.089,22.537,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0.999
"log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_max","log_Days_16C+log_den_STRPURAD+log_UBR_Max+Max_Monthly_Anomaly_Upwelling_Temp+Mean_Monthly_NPP+wh_max","s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_Anomaly_Upwelling_Temp, k = 4, bs = ""cr"") + s(Mean_Monthly_NPP, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1340.24945801318,1531.66905131374,0.44277,NA,40.66,0,18.178,30.218,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0.999
"log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+Mean_Monthly_Nitrate+wh_95prc+wh_max","log_den_STRPURAD+log_UBR_Max+Max_Monthly_NPP_Upwelling+Mean_Monthly_Nitrate+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(Max_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(Mean_Monthly_Nitrate, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1340.26569472859,1518.09604218637,0.50646,NA,37.88,0,18.195,16.645,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0.999
"log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+wh_95prc+wh_max","log_den_STRPURAD+log_Mean_Monthly_NPP_Upwelling+log_UBR_Max+wh_95prc+wh_max","s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_Mean_Monthly_NPP_Upwelling, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1340.27639329892,1524.00320340787,0.4715,NA,39.92,0,18.205,22.552,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0.999
"Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Max+wh_95prc+wh_max","Days_10N+log_Days_16C+log_den_STRPURAD+log_UBR_Max+wh_95prc+wh_max","s(Days_10N, k = 4, bs = ""cr"") + s(log_Days_16C, k = 4, bs = ""cr"") + s(log_den_STRPURAD, k = 4, bs = ""cr"") + s(log_UBR_Max, k = 4, bs = ""cr"") + s(wh_95prc, k = 4, bs = ""cr"") + s(wh_max, k = 4, bs = ""cr"") + s(site_name, zone, bs = ""re"") + s(year, bs = ""re"")",1340.3722860571,1536.00284223527,0.47849,NA,41.64,0,18.301,34.552,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0.999
